wave-length,x(lambda),y(lambda),z(lambda)
380,0.001368,0.000039,0.00645
381,0.001502,0.000042,0.007083
382,0.001642,0.000046,0.007745
383,0.001802,0.000051,0.008501
384,0.001995,0.000057,0.009414
385,0.002236,0.000064,0.010549
386,0.002535,0.00072,0.011965
387,0.002892,0.000082,0.013655
388,0.0033,0.000093,0.015588
389,0.003753,0.000106,0.01773
390,0.004243,0.00012,0.02005
391,0.004762,0.000134,0.022511
392,0.00533,0.000151,0.025202
393,0.005978,0.00017,0.028279
394,0.006741,0.000191,0.031897
395,0.00765,0.000217,0.03621
396,0.008751,0.000246,0.041437
397,0.010028,0.000281,0.047503
398,0.011421,0.000318,0.054119
399,0.012869,0.000357,0.060998
400,0.01431,0.000396,0.06785
401,0.015704,0.000433,0.074486
402,0.017147,0.000473,0.081361
403,0.018781,0.000517,0.089153
404,0.020748,0.000572,0.09854
405,0.02319,0.00064,0.1102
406,0.026207,0.000724,0.124613
407,0.029782,0.000825,0.141701
408,0.03388,0.000941,0.161303
409,0.038468,0.001069,0.183256
410,0.04351,0.00121,0.2074
411,0.048995,0.001362,0.233692
412,0.055022,0.00153,0.262611
413,0.061718,0.00172,0.294774
414,0.069212,0.001935,0.330798
415,0.07763,0.00218,0.3713
416,0.086958,0.002454,0.416209
417,0.097176,0.002764,0.465464
418,0.108406,0.003117,0.519694
419,0.120767,0.003526,0.57953
420,0.13438,0.004,0.6456
421,0.149358,0.004546,0.718483
422,0.165395,0.005159,0.796713
423,0.181983,0.005829,0.877845
424,0.198611,0.006546,0.959439
425,0.21477,0.0073,1.03905
426,0.230186,0.008086,1.115367
427,0.244879,0.008908,1.188497
428,0.258777,0.009767,1.258123
429,0.271807,0.010664,1.323929
430,0.2839,0.0116,1.3856
431,0.294943,0.012,1.442635
432,0.304896,0.013582,1.494803
433,0.313787,0.014629,1.54219
434,0.321645,0.015715,1.58488
435,0.3285,0.01684,1.62296
436,0.334351,0.018007,1.656404
437,0.33921,0.019214,1.685295
438,0.343121,0.020453,1.709874
439,0.346129,0.021718,1.730382
440,0.34828,0.023,1.74706
441,0.349599,0.024294,1.760044
442,0.350147,0.02561,1.769623
443,0.350013,0.026958,1.776263
444,0.349287,0.028351,1.780433
445,0.34806,0.0298,1.7826
446,0.346373,0.03131,1.782968
447,0.344262,0.032883,1.781699
448,0.341808,0.034521,1.779198
449,0.339094,0.036225,1.775867
450,0.3362,0.038,1.77211
451,0.333197,0.039846,1.768258
452,0.330041,0.041768,1.764039
453,0.326635,0.043766,1.758943
454,0.322886,0.045842,1.752466
455,0.3187,0.048,1.7441
456,0.314025,0.050243,1.733559
457,0.308884,0.052573,1.720858
458,0.30329,0.05498,1.705936
459,0.297257,0.057458,1.688737
460,0.2908,0.06,1.6692
461,0.28397,0.062601,1.647528
462,0.276721,0.065277,1.623412
463,0.268917,0.068042,1.596022
464,0.260422,0.070911,1.564528
465,0.2511,0.0739,1.5281
466,0.240847,0.077016,1.486111
467,0.229851,0.080266,1.439521
468,0.218407,0.083666,1.389879
469,0.206811,0.087232,1.338736
470,0.19536,0.09098,1.28764
471,0.184213,0.094917,1.237422
472,0.173327,0.099045,1.187824
473,0.162688,0.103367,1.138761
474,0.152283,0.107884,1.090148
475,0.1421,0.1126,1.0419
476,0.132178,0.117532,0.994197
477,0.122569,0.122674,0.947347
478,0.113275,0.127992,0.901453
479,0.104297,0.133452,0.856619
480,0.09564,0.13902,0.81295
481,0.087299,0.144676,0.770517
482,0.079308,0.150469,0.729444
483,0.071717,0.156461,0.689913
484,0.06458,0.162717,0.652104
485,0.05795,0.1693,0.6162
486,0.051862,0.176243,0.582328
487,0.046281,0.183558,0.550416
488,0.04115,0.191273,0.520337
489,0.036412,0.199418,0.491967
490,0.03201,0.20802,0.46518
491,0.027917,0.217119,0.439924
492,0.024144,0.226734,0.416183
493,0.020687,0.236857,0.393882
494,0.01754,0.247481,0.372945
495,0.0147,0.2586,0.3533
496,0.012161,0.270184,0.334857
497,0.009919,0.282293,0.317552
498,0.007967,0.29505,0.301337
499,0.006296,0.308578,0.286168
500,0.0049,0.323,0.272
501,0.003777,0.338402,0.258817
502,0.002945,0.354685,0.246483
503,0.002424,0.371698,0.23471
504,0.002236,0.389287,0.223453
505,0.0024,0.4073,0.2123
506,0.002925,0.425629,0.201169
507,0.003936,0.444309,0.190119
508,0.005174,0.463394,0.179225
509,0.006982,0.482939,0.16856
510,0.0093,0.503,0.1582
511,0.012149,0.523569,0.148138
512,0.015535,0.544512,0.138375
513,0.019477,0.56569,0.128994
514,0.023922,0.586965,0.120075
515,0.0291,0.6082,0.1117
516,0.034814,0.629345,0.103904
517,0.04112,0.650306,0.096667
518,0.047985,0.670875,0.089982
519,0.055378,0.690842,0.083845
520,0.06327,0.71,0.078249
521,0.071635,0.728185,0.073208
522,0.080462,0.745463,0.068678
523,0.089739,0.761969,0.064567
524,0.099456,0.777836,0.060788
525,0.1096,0.7932,0.05725
526,0.120167,0.80811,0.053904
527,0.131114,0.822496,0.050846
528,0.142367,0.836306,0.047752
529,0.153854,0.849491,0.044898
530,0.1655,0.862,0.04216
531,0.177257,0.87381,0.039507
532,0.18914,0.884962,0.036935
533,0.201169,0.895493,0.034458
534,0.213365,0.905443,0.032088
535,0.225749,0.91485,0.02984
536,0.23832,0.923734,0.027711
537,0.251066,0.932092,0.025694
538,0.263992,0.939922,0.023787
539,0.277101,0.947225,0.021989
540,0.2904,0.954,0.0203
541,0.303891,0.960256,0.018718
542,0.317572,0.966007,0.01724
543,0.331438,0.97126,0.015863
544,0.345482,0.976022,0.014584
545,0.3597,0.9803,0.0134
546,0.374083,0.984092,0.012307
547,0.388639,0.987412,0.011301
548,0.403378,0.990312,0.010377
549,0.418311,0.992811,0.009529
550,0.433449,0.99495,0.008749
551,0.448795,0.99671,0.008035
552,0.464336,0.998098,0.007381
553,0.480064,0.999112,0.006785
554,0.495971,0.999748,0.006242
555,0.51205,1,0.005749
556,0.528295,0.999856,0.005303
557,0.544691,0.999304,0.004899
558,0.561209,0.998325,0.004534
559,0.577821,0.996898,0.004202
560,0.5945,0.995,0.0039
561,0.61122,0.9926,0.003623
562,0.627975,0.989742,0.00337
563,0.64476,0.986444,0.003141
564,0.661569,0.982724,0.002934
565,0.6784,0.9786,0.002749
566,0.695239,0.974083,0.002585
567,0.712058,0.969171,0.002438
568,0.728828,0.963856,0.002309
569,0.745518,0.958134,0.002196
570,0.7621,0.952,0.0021
571,0.778543,0.94545,0.002017
572,0.794825,0.938499,0.001948
573,0.810926,0.931162,0.001889
574,0.826824,0.923457,0.00184
575,0.8425,0.9154,0.0018
576,0.857932,0.907006,0.001766
577,0.873081,0.898277,0.001737
578,0.887894,0.889204,0.001711
579,0.902318,0.879781,0.001683
580,0.9163,0.87,0.00165
581,0.929799,0.859861,0.0011
582,0.942798,0.849392,0.001564
583,0.955277,0.838622,0.001513
584,0.967217,0.827581,0.001458
585,0.9786,0.8163,0.0014
586,0.989285,0.804794,0.001336
587,0.999548,0.793082,0.00127
588,1.009089,0.781192,0.001205
589,1.018006,0.769154,0.001145
590,1.0263,0.757,0.0011
591,1.033982,0.744754,0.001068
592,1.040986,0.732422,0.00149
593,1.047188,0.720003,0.001035
594,1.052466,0.707496,0.001021
595,1.0567,0.6949,0.001
596,1.059794,0.682219,0.000968
597,1.061799,0.669471,0.000929
598,1.062806,0.656674,0.000886
599,1.062909,0.643844,0.000842
600,1.0622,0.631,0.0008
601,1.060765,0.618155,0.00076
602,1.058443,0.605314,0.000723
603,1.055224,0.592475,0.000685
604,1.050976,0.579637,0.000645
605,1.0456,0.5668,0.0006
606,1.039036,0.553961,0.000547
607,1.03136,0.541137,0.000491
608,1.022666,0.528352,0.000435
609,1.013047,0.515632,0.00383
610,1.0026,0.503,0.00034
611,0.991367,0.490468,0.000307
612,0.979331,0.47803,0.000283
613,0.966491,0.465677,0.000265
614,0.952847,0.453403,0.000251
615,0.9384,0.4412,0.00024
616,0.923194,0.42908,0.000229
617,0.907244,0.417036,0.00022
618,0.890502,0.405032,0.000211
619,0.87292,0.393032,0.000202
620,0.854449,0.381,0.00019
621,0.835084,0.368918,0.000174
622,0.814946,0.356827,0.000155
623,0.794186,0.344776,0.000135
624,0.772954,0.332817,0.000116
625,0.7514,0.321,0.0001
626,0.729583,0.309338,0.000086
627,0.707588,0.29785,0.000074
628,0.685602,0.286593,0.000065
629,0.66381,0.275624,0.000056
630,0.6424,0.265,0.000049
631,0.621514,0.254763,0.00004
632,0.601113,0.244889,0.000039
633,0.581105,0.235334,0.000035
634,0.561397,0.226052,0.000032
635,0.5419,0.217,0.00003
636,0.522599,0.208161,0.000027
637,0.503546,0.199548,0.000025
638,0.484743,0.191155,0.000023
639,0.466193,0.182974,0.000021
640,0.4479,0.175,0.00002
641,0.429861,0.167223,0.000018
642,0.412098,0.159646,0.000016
643,0.394644,0.152277,0.000014
644,0.377533,0.145125,0.000012
645,0.3608,0.1382,0.00001
646,0.344456,0.1315,0.000007
647,0.328516,0.125024,0.000005
648,0.313019,0.118779,0.000003
649,0.298001,0.112769,0.000001
650,0.2835,0.107,0
651,0.269544,0.101476,0
652,0.256118,0.096188,0
653,0.243189,0.091122,0
654,0.230727,0.086264,0
655,0.2187,0.0816,0
656,0.207097,0.07712,0
657,0.195923,0.072825,0
658,0.18517,0.06871,0
659,0.174832,0.064769,0
660,0.1649,0.061,0
661,0.155366,0.057396,0
662,0.14623,0.053955,0
663,0.13749,0.050673,0
664,0.129146,0.047549,0
665,0.1212,0.04458,0
666,0.113639,0.041758,0
667,0.106465,0.039284,0
668,0.09969,0.036563,0
669,0.09333,0.0342,0
670,0.0874,0.032,0
671,0.0819,0.029962,0
672,0.076804,0.028076,0
673,0.072077,0.026329,0
674,0.067686,0.024708,0
675,0.0636,0.0232,0
676,0.059806,0.0218,0
677,0.056282,0.020501,0
678,0.052971,0.019281,0
679,0.049818,0.01812,0
680,0.04677,0.017,0
681,0.043784,0.015903,0
682,0.040875,0.014837,0
683,0.038072,0.01381,0
684,0.035404,0.012834,0
685,0.0329,0.01192,0
686,0.030564,0.011068,0
687,0.02838,0.010273,0
688,0.026344,0.009533,0
689,0.024452,0.008846,0
690,0.0227,0.00821,0
691,0.021084,0.007623,0
692,0.019599,0.007085,0
693,0.018237,0.006591,0
694,0.016987,0.006138,0
695,0.01584,0.005723,0
696,0.01479,0.005343,0
697,0.013831,0.004995,0
698,0.012948,0.004676,0
699,0.012129,0.00438,0
700,0.011359,0.004102,0
701,0.010629,0.003838,0
702,0.009938,0.003589,0
703,0.009288,0.003354,0
704,0.008678,0.003134,0
705,0.00811,0.002929,0
706,0.007582,0.002738,0
707,0.007088,0.002559,0
708,0.006627,0.002393,0
709,0.006195,0.002237,0
710,0.00579,0.002091,0
711,0.005409,0.001953,0
712,0.005052,0.001824,0
713,0.004717,0.001703,0
714,0.004403,0.00159,0
715,0.004109,0.001484,0
716,0.003833,0.001384,0
717,0.003575,0.001291,0
718,0.003334,0.001204,0
719,0.003109,0.001122,0
720,0.002899,0.001047,0
721,0.002704,0.000976,0
722,0.002523,0.000911,0
723,0.002354,0.00085,0
724,0.002196,0.000793,0
725,0.002049,0.00074,0
726,0.00191,0.00069,0
727,0.001781,0.000643,0
728,0.00166,0.000599,0
729,0.001546,0.000558,0
730,0.001439,0.00052,0
731,0.00134,0.000483,0
732,0.001246,0.00045,0
733,0.001158,0.000418,0
734,0.001076,0.000388,0
735,0.000999,0.000361,0
736,0.000928,0.000335,0
737,0.000862,0.000311,0
738,0.0008,0.000289,0
739,0.000746,0.000268,0
740,0.00069,0.000249,0
741,0.00064,0.000231,0
742,0.000594,0.000214,0
743,0.000551,0.000199,0
744,0.000512,0.00185,0
745,0.000476,0.000171,0
746,0.000442,0.000159,0
747,0.000411,0.000148,0
748,0.000382,0.000138,0
749,0.000356,0.000128,0
750,0.000356,0.00012,0
